url,diario,seccion,sirve?,dimensión sustantiva?,dimensión valorativa?,Candidate mencionade,dsustantivas,dvalorativas
https://www.clarin.com/politica/cecilia-todesca-bocco-historia-padres-rol-clave-alberto-fernandez-santiago-cafiero_0_DdjY72N5r.html,clarin,politica,TRUE,personalidad,positiva,,otra,neutra
https://www.lanacion.com.ar/politica/sandra-pitta-no-se-puede-consensuar-con-psicopatas-que-de-un-dia-para-el-otro-toman-te-cortan-la-nid27082021/,lanacion,politica,TRUE,ideológica,positiva,Sandra Pitta,personalidad,positiva
https://www.pagina12.com.ar/361649-macri-no-puede-explicar-el-prestamo-con-el-fmi,paginadoce,politica,TRUE,ideológica,positiva,,gestión,negativa
https://www.infobae.com/politica/2021/09/06/moderados-el-partido-que-popularizo-la-serie-borgen-y-va-a-elecciones-en-rosario/,infobae,politica,TRUE,ideológica,neutra,,ideológica,
https://www.clarin.com/politica/oea-refuta-felipe-sola-quiere-argentina-reitere-conceptos-erroneos-bolivia_0_BbJRoVMzV.html,clarin,politica,TRUE,gestión,negativa,,apariencia,
https://www.clarin.com/politica/militante-pj-valorado-alberto-fernandez-idas-vueltas-cristina-kirchner_0_o3OlJVAJ5.html,clarin,politica,TRUE,personalidad,negativa,,ética,
https://www.pagina12.com.ar/350876-maria-eugenia-vidal-le-confirmo-a-mauricio-macri-que-no-sera,paginadoce,politica,FALSE,otra,neutra,Maria Eugenia Vidal,,
https://www.pagina12.com.ar/328277-axel-kicillof-lanzo-un-paquete-de-medidas-contra-la-violenci,paginadoce,sociedad,TRUE,gestión,positiva,,,
https://www.clarin.com/politica/sorpresa-encuesta-horacio-rodriguez-larreta-opositor-querido-votantes-k_0_qRhSG3t_7.html,clarin,politica,TRUE,apariencia,positiva,Diego Santilli ,,
https://www.ambito.com/politica/elecciones-2021/randazzo-el-gran-negocio-la-grieta-es-una-calamidad-la-gente-n5275037,ambito,politica,TRUE,ideológica,positiva,Florencio Randazzo,,
https://www.clarin.com/politica/victoria-tolosa-paz-cruzo-maria-eugenia-vidal-recordaria-brutalidad-cerrar-escuelas-_0_62qDjbwbj.html,clarin,politica,TRUE,gestión,negativa,"Victoria Tolosa Paz, Maria Eugenia Vidal",,
https://www.lanacion.com.ar/politica/el-acto-de-guillermo-moreno-a-los-abrazos-sin-protocolos-ni-barbijos-que-genero-repudio-en-almirante-nid29062021/,lanacion,politica,TRUE,ética,negativa,Guillermo Moreno,,
https://www.lanacion.com.ar/politica/las-crisis-que-nos-esperan-despues-de-las-paso-nid07092021/,lanacion,politica,TRUE,ideológica,negativa,Victoria Tolosa Paz,,
https://www.pagina12.com.ar/361979-tolosa-paz-nuestro-compromiso-es-tener-cada-vez-mas-intenden,paginadoce,politica,TRUE,ideológica,positiva,Victoria Tolosa Paz,,
