termino,freq,bolsa?
país,19,si
programa,19,si
precio,19,si
año,18,
millón,16,
vacuna,16,si
nuevo,14,
pandemia,13,si
nacional,13,
proyecto,13,si
política,13,si
día,12,
$,12,
argentino,12,
dólar,11,si
dólares,10,si
vida,9,si
lista,9,
gobierno,9,si
bonaerense,9,
ley,9,si
fuerza,9,
violencia,9,
diputado,8,si
coronavirus,8,si
tiempo,8,
municipio,8,si
provincia,8,si
ministro,8,si
precandidata,7,si
medida,7,si
sanitario,7,si
seguridad,7,si
tema,7,si
respuesta,7,si
género,7,si
informe,6,si
social,6,si
deuda,6,si
septiembre,6,
referencia,6,si
joven,6,
primero,6,
iniciativa,6,si
trabajo,6,si
crítica,6,si
producto,6,si
mercado,6,si
bono,6,si
punto,6,
caso,6,si
grande,6,si
comercio,6,si
fuerte,5,si
junto,5,si
gestión,5,si
muerte,5,si
escuela,5,si
diputada,5,si
acto,5,si
ex,5,
principal,5,si
vez,5,
fin,5,
titular,5,si
producción,5,si
pago,5,si
segundo,5,
problema,5,si
imagen,5,si
cartera,5,si
control,5,si
ministra,5,si
tanto,5,
reunión,5,si
golpe,5,si
impuesto,5,si
precandidato,4,si
través,4,
dirigente,4,si
elección,4,si
patria,4,
mundo,4,
fuente,4,
chico,4,
parte,4,
reiterado,4,
oportunidad,4,
persona,4,
ciudad,4,
jefe,4,
cosa,4,
palabra,4,
menor,4,
oficialismo,4,si
recorrida,4,
candidata,4,
campaña,4,si
baja,4,
empresario,4,si
presidente,4,si
lunes,4,
hora,4,
tipo,4,
acuerdo,4,si
organismo,4,si
mayorista,4,
nivel,4,
noviembre,4,si
riesgo,4,si
gente,4,si
cepa,4,si
laboratorio,4,si
firma,4,si
necesidad,4,si
negligencia,4,si
mes,4,si
concepto,4,
momento,4,
ministerio,4,si
región,4,si
gobernador,4,si
tarea,4,si
armado,4,si
