termino,freq,bolsa?
país,35,si
año,27,si
lista,25,si
política,24,si
candidato,23,si
elección,22,si
partido,22,si
nacional,21,si
inflación,21,si
campaña,19,si
acuerdo,19,
diputado,18,si
político,18,si
argentino,17,si
provincia,17,
vez,15,
mes,15,
gobierno,15,si
millón,15,
lugar,15,
poder,15,
proyecto,15,
día,14,
principal,14,
$,14,
próximo,13,
vida,13,
oficialismo,13,si
ciencia,13,
último,13,
primero,13,
bonaerense,13,
junto,12,
ley,12,
sociedad,12,si
ex,12,
candidata,11,si
parte,11,
cosa,11,
porteño,11,
gran,10,
frente,10,
economía,10,si
electoral,10,si
dirigente,10,si
decisión,10,
ministro,10,si
candidatura,10,si
momento,10,
precandidato,9,si
reforma,9,si
importante,9,
propuesta,9,si
solo,9,
futuro,9,si
mayoría,9,
cambio,9,si
cargo,9,
medio,9,
espacio,9,
gente,9,
septiembre,8,
realidad,8,
2021,8,
idea,8,
diputada,8,si
problema,8,
semana,8,
dólar,8,si
pesos,8,si
actual,8,
segundo,8,
ajuste,8,si
social,8,
persona,8,
interés,8,
pasado,8,si
kirchnerismo,8,si
2023,8,
hora,8,
presidente,8,si
sector,8,
nuevo,7,
acto,7,
trabajo,7,si
debate,7,si
batalla,7,si
dólares,7,
público,7,
impuesto,7,
presidenta,7,si
propio,7,
pandemia,7,si
moderado,7,
gobernador,7,
nombre,7,
unidad,7,si
fuerza,7,si
distrito,7,
desafío,7,
tarde,7,
fiscal,7,
ciudadano,7,si
oportunidad,6,
posibilidad,6,
tiempo,6,
económico,6,
mundo,6,
interno,6,
vicepresidenta,6,si
compra,6,
nómina,6,
interna,6,si
conducción,6,si
red,6,
figura,6,
través,6,
privado,6,si
aliado,6,
hombre,6,
radicalismo,6,si
pelea,6,si
fin,6,
deuda,6,si
titular,6,
jefe,6,
puesto,6,
legislador,6,si
voto,5,si
servicio,5,
exportación,5,si
sentido,5,si
gestión,5,
oficial,5,si
parlamentario,5,si
resultado,5,si
oposición,5,si
fuerte,5,
mensual,5,
2019,5,si
moneda,5,si
déficit,5,si
semestre,5,si
cuenta,5,
valor,5,si
emisión,5,si
monetario,5,si
industria,5,
2015,5,si
funcionario,5,si
serie,5,
concejal,5,si
causa,5,si
foto,5,si
construcción,5,
partir,5,
mayor,5,si
referente,5,si
liderazgo,5,si
mandato,5,si
ministra,5,si
salario,5,si
cuota,5,
programa,5,
objetivo,5,
populismo,5,si
forma,5,
seguro,5,
militante,4,si
domingo,4,
precandidata,4,si
provincial,4,
precio,4,
carne,4,
administración,4,
mercado,4,
hecho,4,
anual,4,
tarifa,4,si
tipo,4,
primaria,4,
peso,4,si
grande,4,
consumo,4,si
inversión,4,
palabra,4,
extra,4,
2022,4,si
marzo,4,
relación,4,
mejor,4,
pleno,4,
tema,4,
postura,4,
macrismo,4,si
votante,4,si
psicópata,4,
cara,4,
colectivo,4,
miedo,4,si
medida,4,si
académico,4,
diálogo,4,
credibilidad,4,si
cuarentena,4,si
común,4,
plan,4,
líder,4,
médico,4,
mujer,4,si
préstamo,4,
bloque,4,si
comunicación,4,si
negociación,4,si
crédito,4,
punto,4,
pese,4,
legislativo,4,
línea,4,
corrupción,4,si
tercer,4,
apuesto,4,
sueño,4,
texto,4,
iniciativa,4,
civil,4,
independencia,4,si
dictamen,4,
