termino,freq,bolsa?
año,23,
inflación,20,si
política,17,
precio,17,
programa,17,
país,16,
campaña,14,
elección,14,
ex,14,
$,14,
oficialismo,13,
mes,13,
primero,13,
millón,12,
día,11,
lista,11,
trabajo,10,
tiempo,10,
último,10,
dólares,10,
gobierno,10,
ministro,10,
social,10,
electoral,9,
argentino,9,
acuerdo,9,
grande,9,
pandemia,9,
fiscal,9,
producto,9,
próximo,8,
mayoría,8,
semana,8,
público,8,
ajuste,8,si
persona,8,
compra,8,
interés,8,
nacional,8,
diputado,8,
deuda,8,si
municipio,8,
comercio,8,
proyecto,8,
reforma,8,si
económico,7,
organización,7,
dólar,7,si
pesos,7,si
actual,7,
parte,7,
provincia,7,
medio,7,si
candidato,7,
informe,7,
medida,7,si
reunión,7,
contacto,7,
caso,7,si
sociedad,6,
gestión,6,
oficial,6,
político,6,
resultado,6,si
problema,6,si
fuerte,6,si
mensual,6,
dato,6,si
acto,6,
organismo,6,
precandidato,6,
momento,6,
gente,6,
través,6,
referencia,6,
sector,6,
espacio,6,
economía,5,
debate,5,
exportación,5,
administración,5,
importante,5,si
mundo,5,
septiembre,5,
servicio,5,
2019,5,
vez,5,
moneda,5,
peso,5,
déficit,5,si
semestre,5,si
valor,5,
emisión,5,si
monetario,5,si
producción,5,
industria,5,
empresario,5,
pasado,5,si
concepto,5,
principal,5,
salario,5,
junto,5,
escuela,5,
joven,5,
hora,5,
precandidata,5,
fin,5,si
ley,5,
crítica,5,si
jefe,5,
presidente,5,
senador,5,
cuota,5,
red,5,
positivo,5,
estrecho,5,
golpe,5,si
crisis,4,si
carne,4,
campo,4,
dirigente,4,
mercado,4,
productor,4,
decisión,4,
hecho,4,
anual,4,
número,4,
cambio,4,
cuenta,4,
2017,4,
bolsillo,4,si
interno,4,si
nuevo,4,
inversión,4,
extra,4,
coronavirus,4,
2022,4,
necesario,4,
sistema,4,
diálogo,4,
nacion,4,
patria,4,
sentido,4,
término,4,
personal,4,
primario,4,
obligatorio,4,
educativo,4,
votante,4,
recorrida,4,
bonaerense,4,
plan,4,
voto,4,
sitio,4,
gobernador,4,
punto,4,
mayor,4,
canciller,4,
designación,4,
frente,4,
acción,4,
viaje,4,
síntoma,4,
legislador,4,
constitucional,4,
civil,4,
independencia,4,
dictamen,4,
tema,4,
