termino,freq,bolsa?
año,14,si
rumbo,13,
economía,12,
ministro,11,si
gobierno,11,si
dólar,11,
junto,9,
momento,9,
económico,8,
capaz,8,si
economista,7,si
peso,7,
oposición,7,si
plan,6,
mejor,6,
inflación,6,
tipo,6,
gente,6,si
gestión,5,
país,5,
padre,5,si
primero,5,
tiempo,5,si
cambio,5,
idea,5,
política,5,
equipo,5,si
amigo,4,si
semana,4,
senador,4,si
ex,4,si
compañero,4,si
campaña,4,
frente,4,
historia,4,si
vez,4,
bajo,4,si
desorganización,4,
liderazgo,4,si
estabilización,4,
monetario,4,
cosa,4,
