termino,freq,bolsa?
gobierno,33,si
país,32,si
año,28,
política,24,
momento,20,si
junto,19,
economía,19,
lista,19,
argentino,17,
nacional,17,
provincia,17,
vez,16,
vida,16,
ex,16,
dirigente,16,
cosa,15,
votante,15,
frente,14,
diputado,14,
porteño,14,
gente,14,
imagen,14,si
candidato,13,
mejor,13,si
político,13,
opositor,13,
poder,13,
elección,13,
oposición,13,
rumbo,13,si
gran,12,si
campaña,12,
idea,12,si
ciencia,12,
presidente,12,
vacuna,12,si
dólar,12,
bonaerense,11,
primero,11,
día,11,
parte,11,
violencia,11,
candidatura,11,
ministro,11,
económico,11,
precandidato,10,
ley,10,
propuesta,10,
lugar,10,
muerto,10,
ministra,10,
pandemia,10,
acuerdo,10,
2021,9,
futuro,9,si
diputada,9,
jefe,9,
persona,9,
proyecto,9,
social,9,
privado,9,
cargo,9,
inflación,9,
k,9,
próximo,8,
nuevo,8,
género,8,
peor,8,
acto,8,
figura,8,
kirchnerismo,8,
2023,8,
plan,8,
hora,8,
desafío,8,si
liderazgo,8,si
historia,8,
gestión,8,
bajo,8,
tipo,8,
cambio,8,
positivo,8,si
capaz,8,si
candidata,7,
solo,7,
sentido,7,
relato,7,
red,7,
tiempo,7,
2019,7,
espacio,7,
medida,7,
dato,7,
trabajador,7,
mujer,7,
buen,7,si
economista,7,
peso,7,
número,7,
ciudadano,7,
septiembre,6,
oportunidad,6,si
realidad,6,si
precandidata,6,
principal,6,si
iniciativa,6,si
peronismo,6,
pueblo,6,
relación,6,
general,6,
unidad,6,si
tema,6,
único,6,
electoral,6,
medio,6,
sociedad,6,
trabajo,6,
objetivo,6,
referente,6,
claro,6,si
programa,6,
funcionario,6,
propio,6,
caso,6,
cifra,6,
seguro,6,si
decisión,6,si
equipo,6,si
respuesta,6,si
importante,5,si
posibilidad,5,si
legislador,5,
palabra,5,
frase,5,
partir,5,
partido,5,
través,5,
diálogo,5,si
fuerza,5,si
foto,5,
cuarentena,5,
común,5,
construcción,5,
presidenta,5,
millón,5,
vicepresidenta,5,
tragedia,5,
crítica,5,
punto,5,
populismo,5,
padre,5,
sueño,5,
forma,5,
razón,5,
mes,4,
diferente,4,
ciudad,4,
compañero,4,
lado,4,
deuda,4,
libre,4,si
psicópata,4,
mayor,4,
cara,4,
problemática,4,
mundo,4,
2015,4,
problema,4,
colectivo,4,
miedo,4,
duda,4,
credibilidad,4,si
población,4,
hombre,4,
amigo,4,
líder,4,
causa,4,
compromiso,4,si
intendenta,4,
fuerte,4,si
real,4,
municipio,4,
dureza,4,
respecto,4,
impuesto,4,
macrismo,4,
ataque,4,
corrupción,4,
línea,4,
último,4,
pelea,4,
batalla,4,
radio,4,
pasado,4,
sector,4,
mensaje,4,
#,4,
opinión,4,
apuesto,4,
distrito,4,
mandatario,4,
segundo,4,
completo,4,si
experiencia,4,
tabla,4,
anti,4,
desorganización,4,
estabilización,4,si
monetario,4,
