diario,seccion,sustantivos,adjetivos,verbos,candidatos,terminos,etica,gestion,ideologia,personalidad,positiva,negativa,dsustantiva,dvalorativa
lanacion,politica,"tierra,manos,kirchnerismo,2019,victoria,voto",bonaerense,devolver,María Eugenia Vidal,"tierra,manos,kirchnerismo,2019,victoria,voto,bonaerense,devolver",0,0,0.0303030303030303,0,0,0,ideologia,neutra
lanacion,politica,"desempeño,provincia,éxito,fracaso,jugada","",marcar,"Diego Santilli,María Eugenia Vidal","desempeño,provincia,éxito,fracaso,jugada,,marcar",0.0476190476190476,0.024390243902439,0,0,0,0.0344827586206897,etica,negativa
lanacion,politica,"final,gobierno,triunfo,gobernador,ansia,resurrección,medida,suerte,provincia,contienda","traumático,provincial,gran,atado,interno","alimentar,aparecer,corrar",Facundo Manes,"final,gobierno,triunfo,gobernador,ansia,resurrección,medida,suerte,provincia,contienda,traumático,provincial,gran,atado,interno,alimentar,aparecer,corrar",0.0606060606060606,0.0543478260869565,0,0.0294117647058824,0.0392156862745098,0.075,etica,negativa
lanacion,politica,"fuera,intento,interrogante,rendimiento,oferta,izquierda","polarizador,junto,electoral,política,tradicional","abrir,tener","Javier Milei,José Luis Espert","fuera,intento,interrogante,rendimiento,oferta,izquierda,polarizador,junto,electoral,política,tradicional,abrir,tener",0,0.0222222222222222,0,0,0,0,gestion,neutra
lanacion,politica,"campaña,nacion,contexto,vez,elección,contexto,pandemia","primero,nacional",enfrentar,Javier Milei,"campaña,nacion,contexto,vez,elección,contexto,pandemia,primero,nacional,enfrentar",0.0384615384615385,0.0348837209302326,0.04,0.08,0,0,personalidad,neutra
lanacion,politica,"número,piso,tormenta,voto,punto,diferencia,lista,suma","mágico,encabezado","funcionar,aguardarir","Victoria Tolosa Paz,Diego Santilli,Facundo Manes","número,piso,tormenta,voto,punto,diferencia,lista,suma,mágico,encabezado,funcionar,aguardarir",0,0,0,0,0,0,otras,neutra
lanacion,politica,"hipótesis,apuesta,tablero,diferencia,reproche,interés,votante,opositor",incontestable,"perder,sacudir,obligar,obtener,querer,evitar,arrogar,representar",María Eugenia Vidal,"hipótesis,apuesta,tablero,diferencia,reproche,interés,votante,opositor,incontestable,perder,sacudir,obligar,obtener,querer,evitar,arrogar,representar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"primaria,lista","","esperar,superar","Ricardo López Murphy,Adolfo Rubinstein","primaria,lista,,esperar,superar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"holgura,candidata,albertista","junto,solo,votado",pasar,Leandro Santoro,"holgura,candidata,albertista,junto,solo,votado,pasar",0,0,0,0,0,0,otras,neutra
clarin,politica,"comparación,voto,boleta,oficialismo,2017,candidatura,senadora","determinante,bonaerense,nacional","conseguir,encabezar,obtener",Victoria Tolosa Paz,"comparación,voto,boleta,oficialismo,2017,candidatura,senadora,determinante,bonaerense,nacional,conseguir,encabezar,obtener",0,0,0.0388349514563107,0.0344827586206897,0,0,ideologia,neutra
clarin,politica,"jefe,carrera,vez,pie,candidatura,provincia","porteño,posicionado,primero","poner,impulsar",Diego Santilli,"jefe,carrera,vez,pie,candidatura,provincia,porteño,posicionado,primero,poner,impulsar",0,0,0,0,0,0,otras,neutra
clarin,politica,"radicalismo,apuesta,competencia,dirigente,partido,lado,disputa,provincia,manera,apuesta","debutante,electoral,nacional,unificado,bonaerense","conseguir,oponer él,dejar,mantener,apoyar",Facundo Manes,"radicalismo,apuesta,competencia,dirigente,partido,lado,disputa,provincia,manera,apuesta,debutante,electoral,nacional,unificado,bonaerense,conseguir,oponer él,dejar,mantener,apoyar",0,0.0206185567010309,0.0458715596330275,0.0277777777777778,0,0,ideologia,neutra
clarin,politica,"opinión,gobernadora","original,ex,bonaerense","impulsar,competir","María Eugenia Vidal,Ricardo López Murphy,Adolfo Rubinstein","opinión,gobernadora,original,ex,bonaerense,impulsar,competir",0,0,0,0.0434782608695652,0,0,personalidad,neutra
clarin,politica,"peronismo,candidato,posibilidad,candidatura",mayor,"tener,quedar él",Leandro Santoro,"peronismo,candidato,posibilidad,candidatura,mayor,tener,quedar él",0,0,0.0306122448979592,0,0.024390243902439,0.032258064516129,ideologia,negativa
clarin,politica,"aparición,elección,economista,fuerza,derecha,candidato","novedoso,porteño,bonaerense","armar,tener","Javier Milei,José Luis Espert","aparición,elección,economista,fuerza,derecha,candidato,novedoso,porteño,bonaerense,armar,tener",0,0,0.0294117647058824,0.037037037037037,0.0222222222222222,0.0285714285714286,personalidad,negativa
clarin,politica,"lugar,base,electorado,peronista,kirchnerismo","","querer,conseguir,querer,votar",Florencio Randazzo,"lugar,base,electorado,peronista,kirchnerismo,,querer,conseguir,querer,votar",0,0,0,0,0,0,otras,neutra
clarin,politica,"concordia,lista,ventaja,punto,mitad,sondeo,mes","solo,interno","encabezar,llevar,sacar,hacer",Victoria Tolosa Paz,"concordia,lista,ventaja,punto,mitad,sondeo,mes,solo,interno,encabezar,llevar,sacar,hacer",0,0,0,0,0,0.027027027027027,otras,negativa
clarin,politica,"preocupación,clase,lunes,boleta,voto,empate,encuestador,resultado,punto,punto,distrito,país,vez,diálogo,dirigente,oficialismo,referente,oposición,espuma,resultado,apertura,mercado,lunes,camino,noviembre","palpable,político,virtual,principal,reservado,encumbrado","pasar,sumar,arañar,llamar,ubicar,tratar,bajar,pensar","Diego Santilli,Facundo Manes","preocupación,clase,lunes,boleta,voto,empate,encuestador,resultado,punto,punto,distrito,país,vez,diálogo,dirigente,oficialismo,referente,oposición,espuma,resultado,apertura,mercado,lunes,camino,noviembre,palpable,político,virtual,principal,reservado,encumbrado,pasar,sumar,arañar,llamar,ubicar,tratar,bajar,pensar",0.037037037037037,0.0535714285714286,0.0725806451612903,0.037037037037037,0.0422535211267606,0.032258064516129,ideologia,positiva
lanacion,politica,"precandidata,diputada,hija,amiga",primero,mostrar,María Eugenia Vidal,"precandidata,diputada,hija,amiga,primero,mostrar",0,0.0240963855421687,0.0204081632653061,0,0,0,gestion,neutra
lanacion,politica,"parte,sábado,actividad,tensión,candidato,diputado","electoral,primero,nacional","aprovechar,hacer",Leandro Santoro,"parte,sábado,actividad,tensión,candidato,diputado,electoral,primero,nacional,aprovechar,hacer",0,0.0227272727272727,0.0396039603960396,0,0,0.0285714285714286,ideologia,negativa
lanacion,politica,"precandidato,diputado,provincia,sábado,foto","primero,familiar","limitar,retratar",Diego Santilli,"precandidato,diputado,provincia,sábado,foto,primero,familiar,limitar,retratar",0.04,0.0352941176470588,0.03,0,0,0.0303030303030303,etica,negativa
lanacion,politica,"dirigente,protagonista,jornada,domingo,mensaje,propósito,mayoría,postulant","sumado,gran","publicar,hacer,valer,aclarar","Facundo Manes,Nicolás del Caño","dirigente,protagonista,jornada,domingo,mensaje,propósito,mayoría,postulant,sumado,gran,publicar,hacer,valer,aclarar",0.0333333333333333,0,0,0.0333333333333333,0.0208333333333333,0,etica,positiva
lanacion,politica,"candidatura,diputado,provincial,traspié",nacional,"postular,sufrir,oficializar él",Diego Santilli,"candidatura,diputado,provincial,traspié,nacional,postular,sufrir,oficializar él",0,0.0235294117647059,0.0408163265306122,0,0,0,ideologia,neutra
lanacion,politica,"colegio,localidad,padrón,elección",oficial,"votar él,constar",Diego Santilli,"colegio,localidad,padrón,elección,oficial,votar él,constar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"compañera,fórmula,domicilio,microcentro",porteño,constar,Graciela Ocaña,"compañera,fórmula,domicilio,microcentro,porteño,constar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"voto,boleta",encabezado,"sumar,integrar",Victoria Tolosa Paz,"voto,boleta,encabezado,sumar,integrar",0,0,0,0,0,0,otras,neutra
lanacion,politica,"caso,apuesta,interna","comentado,gran",enfrentar,Facundo Manes,"caso,apuesta,interna,comentado,gran,enfrentar",0.0454545454545455,0,0,0,0.025,0.0333333333333333,etica,negativa
lanacion,politica,"campaña,precandidato,centro,nacion,lista",encabezado,salir,Facundo Manes,"campaña,precandidato,centro,nacion,lista,encabezado,salir",0,0.0238095238095238,0.0306122448979592,0,0,0.032258064516129,ideologia,negativa
lanacion,politica,"economista,interna","",competir,"María Eugenia Vidal,Adolfo Rubinstein","economista,interna,,competir",0,0,0,0.0555555555555556,0,0,personalidad,neutra
lanacion,politica,"precandidato,provincia,caso",junto,"","Sandra Pitta,Ricardo López Murphy","precandidato,provincia,caso,junto,",0.05,0.0506329113924051,0,0,0,0.0740740740740741,gestion,negativa
lanacion,politica,"debate,provincia,particularidad,candidato","solidario,extraordinario,curioso","compartir,votar él","Graciela Ocaña,Facundo Manes","debate,provincia,particularidad,candidato,solidario,extraordinario,curioso,compartir,votar él",0,0,0,0.04,0,0.0303030303030303,personalidad,negativa
clarin,opinion,"problema,agenda,campaña,jefe,precandidato,diputado",agravado,"convertir,polemizar",Diego Santilli,"problema,agenda,campaña,jefe,precandidato,diputado,agravado,convertir,polemizar",0,0.0476190476190476,0.03,0,0,0.0625,gestion,negativa
clarin,politica,"presidente,lista,peso,nombre,aspiración",único,"lograr,encabezar,hacer,sentir,ingresar",Victoria Tolosa Paz,"presidente,lista,peso,nombre,aspiración,único,lograr,encabezar,hacer,sentir,ingresar",0,0,0.0294117647058824,0,0,0,ideologia,neutra
