Agrupación,Nombre lista,Subcategoria Cargo,Posicion,Candidato/a,Edad,Genero,Distrito,Cargo,Estado,Fecha Nacimiento
CABA JUNTOS POR EL CAMBIO,JUNTOS PODEMOS MáS,TITULARES,1,María Eugenia Vidal,48,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,08/09/1973
FRENTE DE IZQUIERDA Y DE TRABAJADORES- UNIDAD,A  UNIDAD DE LA IZQUIERDA,TITULARES,1,Myriam Bregman,49,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,25/02/1972
FRENTE DE IZQUIERDA Y DE TRABAJADORES- UNIDAD,LISTA 10 R (R)EVOLUCIONEMOS LA IZQUIERDA,TITULARES,1,Maria Celeste Fierro,36,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,24/05/1985
PARTIDO SOCIALISTA AUTENTICO,ACUERDO VERDE Y SOCIAL,TITULARES,1,Silvia Beatriz Vazquez,63,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,17/12/1958
ALIANZA AVANZA LA LIBERTAD,VIVA LA LIBERTAD,TITULARES,2,Victoria Villaruel,46,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,13/04/1975
APTITUD RENOVADORA,PRINCIPIOS Y VALORES,TITULARES,2,Nydia Lirola,47,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,08/03/1974
AUTODETERMINACIóN Y LIBERTAD,QUE LOS PUEBLOS MANDEN,TITULARES,2,Virginia Peyra Villarino,29,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,25/03/1992
CABA JUNTOS POR EL CAMBIO,ADELANTE CIUDAD,TITULARES,2,Mónica Marquina,54,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,16/02/1967
CABA JUNTOS POR EL CAMBIO,REPUBLICANOS,TITULARES,2,Sandra Pitta,62,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,19/04/1959
DIGNIDAD POPULAR,"LISTA ""A"" FRENTE PATRIOTA",TITULARES,2,Azul Padro,35,F,CIUDAD AUTÓNOMA DE BUENOS AIRES,DIPUTADOS NACIONALES,APROBADA,04/12/1986
